Species,Average mass (kg),Region,Sample size,survival est,SE,95% CI (lower),95% CI (upper),sex,age,Group,Method,Reference,Values Reviewed? (Y/N),
Spotted Owl Strix occidentalis,0.5,"South Cascade, Oregon, USA",,0.733,0.053,,,female,second year,,3,Forsman et al. (2011),Y,
Spotted Owl Strix occidentalis,0.5,"South Cascade, Oregon, USA",,0.851,0.01,,,female,third year and over,,3,Forsman et al. (2011),Y,
Spotted Owl Strix occidentalis,0.5,"Northwest California, USA",,0.787,0.031,,,male,second year,,3,Forsman et al. (2011),Y,
Spotted Owl Strix occidentalis,0.5,"Northwest California, USA",,0.846,0.009,,,male,third year and over,,3,Forsman et al. (2011),Y,
Spotted Owl Strix occidentalis,0.5,"Northwest California, USA",,0.784,0.031,,,female,second year,,3,Forsman et al. (2011),Y,
Spotted Owl Strix occidentalis,0.5,"Northwest California, USA",,0.844,0.009,,,female,third year and over,,3,Forsman et al. (2011),Y,
Spotted Owl Strix occidentalis,0.5,"Hoopa Tribe, California, USA",,0.84,0.037,,,male,second year,,3,Forsman et al. (2011),Y,
Spotted Owl Strix occidentalis,0.5,"Hoopa Tribe, California, USA",,0.857,0.013,,,male,third year and over,,3,Forsman et al. (2011),Y,
Spotted Owl Strix occidentalis,0.5,"Hoopa Tribe, California, USA",,0.838,0.038,,,female,second year,,3,Forsman et al. (2011),Y,
Spotted Owl Strix occidentalis,0.5,"Hoopa Tribe, California, USA",,0.854,0.014,,,female,third year and over,,3,Forsman et al. (2011),Y,
Spotted Owl Strix occidentalis,0.5,"Green Diamond, California, USA",,0.85,0.015,,,male,second year,,3,Forsman et al. (2011),Y,
Spotted Owl Strix occidentalis,0.5,"Green Diamond, California, USA",,0.851,0.007,,,male,third year and over,,3,Forsman et al. (2011),Y,
Spotted Owl Strix occidentalis,0.5,"Green Diamond, California, USA",,0.852,0.015,,,female,second year,,3,Forsman et al. (2011),Y,
Spotted Owl Strix occidentalis,0.5,"Green Diamond, California, USA",,0.853,0.007,,,female,third year and over,,3,Forsman et al. (2011),Y,
Spotted Owl Strix occidentalis,0.5,"Pacific Northwest, USA",20,0.87,0.01,,,,adult and subadult,Tyee,3,Glenn et al. (2011),Y,
Spotted Owl Strix occidentalis,0.5,"Pacific Northwest, USA",15,0.87,0.02,,,,adult and subadult,H.J. Andrews,3,Glenn et al. (2011),Y,
Spotted Owl Strix occidentalis,0.5,"Pacific Northwest, USA",16,0.81,0.03,,,,adult and subadult,Cle Elum,3,Glenn et al. (2011),Y,
Spotted Owl Strix occidentalis,0.5,"New Mexico, USA",,0.699,0.059,,,male,second year and over,2004,3,Ganey et al. (2014),Y,> 26 months old
Spotted Owl Strix occidentalis,0.5,"New Mexico, USA",,0.736,0.057,,,female,second year and over,2004,3,Ganey et al. (2014),Y,> 26 months old
Spotted Owl Strix occidentalis,0.5,"New Mexico, USA",,0.877,0.045,,,male,second year and over,2005,3,Ganey et al. (2014),Y,> 26 months old
Spotted Owl Strix occidentalis,0.5,"New Mexico, USA",,0.897,0.04,,,female,second year and over,2005,3,Ganey et al. (2014),Y,> 26 months old
Spotted Owl Strix occidentalis,0.5,"New Mexico, USA",,0.791,0.053,,,male,second year and over,2006,3,Ganey et al. (2014),Y,> 26 months old
Spotted Owl Strix occidentalis,0.5,"New Mexico, USA",,0.821,0.048,,,female,second year and over,2006,3,Ganey et al. (2014),Y,> 26 months old
Spotted Owl Strix occidentalis,0.5,"New Mexico, USA",,0.977,0.022,,,male,second year and over,2007,3,Ganey et al. (2014),Y,> 26 months old
Spotted Owl Strix occidentalis,0.5,"New Mexico, USA",,0.979,0.02,,,female,second year and over,2007,3,Ganey et al. (2014),Y,> 26 months old
Spotted Owl Strix occidentalis,0.5,"New Mexico, USA",,0.906,0.036,,,male,second year and over,2008,3,Ganey et al. (2014),Y,> 26 months old
Spotted Owl Strix occidentalis,0.5,"New Mexico, USA",,0.922,0.031,,,female,second year and over,2008,3,Ganey et al. (2014),Y,> 26 months old
Spotted Owl Strix occidentalis,0.5,"New Mexico, USA",,0.863,0.039,,,male,second year and over,2009,3,Ganey et al. (2014),Y,> 26 months old
Spotted Owl Strix occidentalis,0.5,"New Mexico, USA",,0.882,0.034,,,female,second year and over,2009,3,Ganey et al. (2014),Y,> 26 months old
Spotted Owl Strix occidentalis,0.5,"California, USA",,0.828,,0.801,0.854,,second year and over,,6,Tempel et al. (2014),Y,
Ural Owl Strix uralensis,0.25,S. Finland,,0.8,0.016,,,female,adult,,3,Pavón-Jordán et al. (2013),Y,before 1 year sexual maturity
Little Owl Athene noctua,0.26,"Basel, Swtizerland",,0.61,0.042,,,,adult,,3,Schaub et al. (2006),Y,most were females
Little Owl Athene noctua,0.26,"Göppingen, Switzerland",,0.659,0.051,,,,adult,,3,Schaub et al. (2006),Y,most were females
Little Owl Athene noctua,0.26,"Genvé, Switzerland",,0.687,0.068,,,,adult,,3,Schaub et al. (2006),Y,before 1 year sexual maturity
Little Owl Athene noctua,0.26,"Frederichschafen, Switzerland",,0.674,0.026,,,,adult,,3,Schaub et al. (2006),Y,
Little Owl Athene noctua,0.26,Netherlands,,0.753,0.019,,,,adult,,3,Le Gouar et al. (2011),Y,
Little Owl Athene noctua,0.26,Denmark,,0.98,,0.96,0.99,,adult,,5,Thorup et al. (2013),Y,
Burrowing Owl Athene cunicularia,0.15,"Florida, USA",,0.81,0.04,,,male,adult,Highly developed area,3,Millsap (2002),Y,>60% development; based on adult models
Burrowing Owl Athene cunicularia,0.15,"Florida, USA",,0.69,0.04,,,female,adult,Highly developed area,3,Millsap (2002),Y,>60% development
Burrowing Owl Athene cunicularia,0.15,"Florida, USA",,0.62,0.05,,,male,adult,Moderately developed area,3,Millsap (2002),Y,20-39% development
Burrowing Owl Athene cunicularia,0.15,"Florida, USA",,0.62,0.05,,,male,adult,Moderately developed area,3,Millsap (2002),Y,40-60% development
Burrowing Owl Athene cunicularia,0.15,"Florida, USA",,0.69,0.04,,,female,adult,Moderately developed area,3,Millsap (2002),Y,20-39% development
Burrowing Owl Athene cunicularia,0.15,"Florida, USA",,0.52,0.06,,,female,adult,Moderately developed area,3,Millsap (2002),Y,40-60% development
Burrowing Owl Athene cunicularia,0.15,"Florida, USA",,0.46,0.02,,,,second year and over,Highly developed area,3,Millsap (2002),Y,>60% development; estimated by age class
Burrowing Owl Athene cunicularia,0.15,"Florida, USA",,0.6,0.09,,,,second year and over,moderately developed area,3,Millsap (2002),Y,40-60% development
Burrowing Owl Athene cunicularia,0.15,"Florida, USA",,0.63,0.09,,,,second year and over,moderately developed area,3,Millsap (2002),Y,20-39% development
Burrowing Owl Athene cunicularia,0.15,"California, USA",,0.545,,0.479,0.61,,adult,1996-2007,4,Barclay et al. (2011),Y,
Burrowing Owl Athene cunicularia,0.15,"California, USA",,0.71,,0.59,0.807,,adult,1996-2001,4,Barclay et al. (2011),Y,
Burrowing Owl Athene cunicularia,0.15,"California, USA",,0.465,,0.387,0.545,,adult,2002-2007,4,Barclay et al. (2011),Y,
Burrowing Owl Athene cunicularia,0.15,South-Central Canada,,0.44,0.05,,,male,adult,,3,Wellicome et al. (2014),Y,
Burrowing Owl Athene cunicularia,0.15,South-Central Canada,,0.21,0.03,,,female,adult,,3,Wellicome et al. (2014),Y,
Boreal Owl Aegolius funereus,0.12,"Idaho, USA",,0.46,,0.23,0.91,,adult,,5,Hayward et al. (1993),Y,
